AF-A0A023PYF4-F1-model_v2.pdb	Relative Contact Order: 0.0580150146329049
AF-A0A023PZB3-F1-model_v2.pdb	Relative Contact Order: 0.0162170427071089
AF-A0A023PZE8-F1-model_v2.pdb	Relative Contact Order: 0.0810408743536526
AF-A0A023PZF2-F1-model_v2.pdb	Relative Contact Order: 0.0408183186654542
AF-A0A023PZG4-F1-model_v2.pdb	Relative Contact Order: 0.0497743459854273
AF-A0A0B7P221-F1-model_v2.pdb	Relative Contact Order: 0.1875
AF-A0A0B7P3V8-F1-model_v2.pdb	Relative Contact Order: 0.0147270048022896
AF-A0A7M4B2U1-F1-model_v2.pdb	Relative Contact Order: 0.0970581829223894
AF-A2P2R3-F1-model_v2.pdb	Relative Contact Order: 0.0637345483759947
AF-A5Z2X5-F1-model_v2.pdb	Relative Contact Order: 0.0320973811733168
AF-D6VPM8-F1-model_v2.pdb	Relative Contact Order: 0.0435930122591739
AF-D6VTK4-F1-model_v2.pdb	Relative Contact Order: 0.0227617468638935
AF-D6W196-F1-model_v2.pdb	Relative Contact Order: 0.0239133455113384
AF-I2HB52-F1-model_v2.pdb	Relative Contact Order: 0.0363746423068457
AF-I2HB70-F1-model_v2.pdb	Relative Contact Order: 0.0231021729079982
AF-O13297-F1-model_v2.pdb	Relative Contact Order: 0.0380304775292453
AF-O13329-F1-model_v2.pdb	Relative Contact Order: 0.032597110406073
AF-O13511-F1-model_v2.pdb	Relative Contact Order: 0.0158284893631529
AF-O13512-F1-model_v2.pdb	Relative Contact Order: 0.0921533268599436
AF-O13516-F1-model_v2.pdb	Relative Contact Order: 0.0424816267661702
AF-O13525-F1-model_v2.pdb	Relative Contact Order: 0.041654978744531
AF-O13527-F1-model_v2.pdb	Relative Contact Order: 0.0206997517880014
AF-O13529-F1-model_v2.pdb	Relative Contact Order: 0.04373110997289
AF-O13535-F1-model_v2.pdb	Relative Contact Order: 0.021252213914129
AF-O13536-F1-model_v2.pdb	Relative Contact Order: 0.0835642397362231
AF-O13539-F1-model_v2.pdb	Relative Contact Order: 0.0160301807982335
AF-O13544-F1-model_v2.pdb	Relative Contact Order: 0.0250456863265246
AF-O13547-F1-model_v2.pdb	Relative Contact Order: 0.0167645643921784
AF-O13549-F1-model_v2.pdb	Relative Contact Order: 0.0221297132220996
AF-O13555-F1-model_v2.pdb	Relative Contact Order: 0.0181904519630289
AF-O13556-F1-model_v2.pdb	Relative Contact Order: 0.0429449115744709
AF-O13559-F1-model_v2.pdb	Relative Contact Order: 0.0161933138449906
AF-O13563-F1-model_v2.pdb	Relative Contact Order: 0.0796384723154849
AF-O13565-F1-model_v2.pdb	Relative Contact Order: 0.0577643107891947
AF-O13574-F1-model_v2.pdb	Relative Contact Order: 0.024644388209057
AF-O13577-F1-model_v2.pdb	Relative Contact Order: 0.0261411493028854
AF-O13578-F1-model_v2.pdb	Relative Contact Order: 0.0166569125651859
AF-O13585-F1-model_v2.pdb	Relative Contact Order: 0.0307777147086746
AF-O13587-F1-model_v2.pdb	Relative Contact Order: 0.109822560202788
AF-O14455-F1-model_v2.pdb	Relative Contact Order: 0.0413094103948343
AF-O14464-F1-model_v2.pdb	Relative Contact Order: 0.0670328441902552
AF-O14467-F1-model_v2.pdb	Relative Contact Order: 0.0373177868512836
AF-O14468-F1-model_v2.pdb	Relative Contact Order: 0.0279042200094832
AF-O43137-F1-model_v2.pdb	Relative Contact Order: 0.0867665418227216
AF-O60200-F1-model_v2.pdb	Relative Contact Order: 0.0555740502951232
AF-O74302-F1-model_v2.pdb	Relative Contact Order: 0.0156533843255252
AF-O74700-F1-model_v2.pdb	Relative Contact Order: 0.0381196374559526
AF-O75012-F1-model_v2.pdb	Relative Contact Order: 0.0751750621188164
AF-O94742-F1-model_v2.pdb	Relative Contact Order: 0.0245847937891047
AF-P00044-F1-model_v2.pdb	Relative Contact Order: 0.122907635112529
AF-P00045-F1-model_v2.pdb	Relative Contact Order: 0.116242611118787
AF-P00127-F1-model_v2.pdb	Relative Contact Order: 0.0342599420901872
AF-P00128-F1-model_v2.pdb	Relative Contact Order: 0.0704860168341026
AF-P00163-F1-model_v2.pdb	Relative Contact Order: 0.0655902992994312
AF-P00175-F1-model_v2.pdb	Relative Contact Order: 0.0566275215539114
AF-P00330-F1-model_v2.pdb	Relative Contact Order: 0.083212867480041
AF-P00331-F1-model_v2.pdb	Relative Contact Order: 0.0801037384176583
AF-P00358-F1-model_v2.pdb	Relative Contact Order: 0.075243931390587
AF-P00359-F1-model_v2.pdb	Relative Contact Order: 0.075341260040285
AF-P00360-F1-model_v2.pdb	Relative Contact Order: 0.0757888051786541
AF-P00401-F1-model_v2.pdb	Relative Contact Order: 0.0540499928063498
AF-P00410-F1-model_v2.pdb	Relative Contact Order: 0.0725290737274126
AF-P00420-F1-model_v2.pdb	Relative Contact Order: 0.0561685962269827
AF-P00424-F1-model_v2.pdb	Relative Contact Order: 0.0336688083639777
AF-P00425-F1-model_v2.pdb	Relative Contact Order: 0.0317379490520561
AF-P00427-F1-model_v2.pdb	Relative Contact Order: 0.0397230737501289
AF-P00431-F1-model_v2.pdb	Relative Contact Order: 0.0709699710415923
AF-P00445-F1-model_v2.pdb	Relative Contact Order: 0.158097161125934
AF-P00447-F1-model_v2.pdb	Relative Contact Order: 0.0746724644228597
AF-P00498-F1-model_v2.pdb	Relative Contact Order: 0.0754479018664408
AF-P00546-F1-model_v2.pdb	Relative Contact Order: 0.0560918932596615
AF-P00549-F1-model_v2.pdb	Relative Contact Order: 0.0601597175195898
AF-P00560-F1-model_v2.pdb	Relative Contact Order: 0.0691172589220824
AF-P00572-F1-model_v2.pdb	Relative Contact Order: 0.117905937902221
AF-P00635-F1-model_v2.pdb	Relative Contact Order: 0.102329979779008
AF-P00724-F1-model_v2.pdb	Relative Contact Order: 0.0710288383222099
AF-P00729-F1-model_v2.pdb	Relative Contact Order: 0.0674576494656686
AF-P00812-F1-model_v2.pdb	Relative Contact Order: 0.0897236928998331
AF-P00815-F1-model_v2.pdb	Relative Contact Order: 0.0338028274226782
AF-P00817-F1-model_v2.pdb	Relative Contact Order: 0.105035752705906
AF-P00830-F1-model_v2.pdb	Relative Contact Order: 0.0510334168833371
AF-P00854-F1-model_v2.pdb	Relative Contact Order: 0.0561335970624648
AF-P00856-F1-model_v2.pdb	Relative Contact Order: 0.050255742134723
AF-P00890-F1-model_v2.pdb	Relative Contact Order: 0.0577739107881781
AF-P00899-F1-model_v2.pdb	Relative Contact Order: 0.0919902064299394
AF-P00912-F1-model_v2.pdb	Relative Contact Order: 0.0741108115746679
AF-P00924-F1-model_v2.pdb	Relative Contact Order: 0.0787632128680773
AF-P00925-F1-model_v2.pdb	Relative Contact Order: 0.0787728890373463
